"Geographic_Area","Total","Improved Toilet Facilities","Basic service (Improved and exclusive use)","Limited service (Improved and shared)","Unimproved"
"Ghana",4953140,4834926,2111980,2722946,118214
"Western",365670,356286,149023,207263,9384
"Jomoro Municipal",18251,17591,7136,10455,660
"Ellembelle",21408,20555,7986,12569,853
"Nzema East Municipal",13689,12840,4254,8586,849
"Ahanta West Municipal",22438,21922,8303,13619,516
"Effia Kwesimintsim Municipal",35283,35156,20864,14292,127
"Sekondi Takoradi Metropolitan Area (STMA)",47231,46854,23617,23237,377
"STMA-Takoradi",10437,10419,4415,6004,18
"STMA-Sekondi",10409,10387,4840,5547,22
"STMA-Essikado-Ketan",26385,26048,14362,11686,337
"Shama",15995,15562,6691,8871,433
"Wassa East",19622,19493,5828,13665,129
"Mpohor",8955,8479,2213,6266,476
"Tarkwa-Nsuaem Municipal",39738,39071,18063,21008,667
"Prestea/Huni Valley Municipal",36218,34838,14794,20044,1380
"Wassa Amenfi East Municipal",38489,37569,13411,24158,920
"Wassa Amenfi Central",22398,21353,7342,14011,1045
"Wassa Amenfi West Municipal",25955,25003,8521,16482,952
"Central",546610,535929,205262,330667,10681
"Komenda Edina Eguafo Abirem Municipal",19285,18954,8023,10931,331
"Cape Cape Metropolitan Area (CCMA)",38216,37884,18176,19708,332
"CCMA-Cape Coast South",13748,13689,5147,8542,59
"CCMA-Cape Coast North",24468,24195,13029,11166,273
"Abura Asebu Kwamankese",21765,20960,7071,13889,805
"Mfantsiman Municipal",28694,28252,9486,18766,442
"Ekumfi",7074,6810,1689,5121,264
"Gomoa West",18147,17819,4987,12832,328
"Effutu Municipal",19325,19149,6336,12813,176
"Gomoa Central",14340,14098,4702,9396,242
"Gomoa East",66790,65317,35013,30304,1473
"Awutu Senya East Municipal",59460,58412,28642,29770,1048
"Awutu Senya",28989,28323,9933,18390,666
"Agona East",16537,16091,5834,10257,446
"Agona West Municipal",30198,29822,10444,19378,376
"Asikuma Odoben Brakwa",22533,21906,7172,14734,627
"Ajumako Enyan Essiam",24194,23848,6322,17526,346
"Assin South",20102,19449,6352,13097,653
"Twifo Heman Lower Denkyira",13063,12877,3943,8934,186
"Twifo Ati Morkwa",18969,18498,6977,11521,471
"Assin Fosu Municipal",20132,19982,6214,13768,150
"Assin North",14721,14197,3891,10306,524
"Upper Denkyira East Municipal",23962,23556,8397,15159,406
"Upper Denkyira West",20114,19725,5658,14067,389
"Greater Accra",1176496,1165093,607829,557264,11403
"Ga South Municipal",76879,75126,43114,32012,1753
"Weija Gbawe Municipal",50787,50006,30919,19087,781
"Ga Central Municipal",96314,94666,42983,51683,1648
"Ablekuma North Municipal",42544,42237,14725,27512,307
"Ablekuma West Municipal",27504,27463,15162,12301,41
"Ablekuma Central Municipal",34020,33980,11173,22807,40
"Accra Metropolitan Area (AMA)",45202,45173,17060,28113,29
"AMA-Ablekuma South",18251,18232,6688,11544,19
"AMA-Ashiedu Keteke",5142,5135,1373,3762,7
"AMA-Okaikoi South",21809,21806,8999,12807,3
"Korle Klottey Municipal",16168,16153,4757,11396,15
"Ayawaso Central Municipal",24154,24136,7755,16381,18
"Ayawaso East Municipal",8198,8178,2648,5530,20
"Ayawaso North Municipal",12850,12832,2966,9866,18
"La Dade-Kotopon Municipal",30483,30439,16549,13890,44
"Ledzokuku Municipal",46701,46267,22741,23526,434
"Krowor Municipal",29623,29581,17388,12193,42
"Adentan Municipal",66976,66336,43269,23067,640
"Ayawaso West Municipal",16102,16080,10110,5970,22
"Okaikoi North Municipal",41322,41153,15876,25277,169
"Ga North Municipal",66262,65581,34536,31045,681
"Ga West Municipal",73202,72153,40892,31261,1049
"Ga East Municipal",77980,77014,49249,27765,966
"La Nkwantanang Madina Municipal",58929,58468,29802,28666,461
"Kpone Katamanso Municipal",71279,70878,44537,26341,401
"Ashaiman Municipal",29445,29175,8605,20570,270
"Tema West Municipal",46000,45940,30777,15163,60
"Tema Metropolitan Area (TMA)",24781,24758,15993,8765,23
"TMA-Tema Central",16646,16629,12416,4213,17
"TMA-Tema East",8135,8129,3577,4552,6
"Ningo-Prampram",30202,29876,21285,8591,326
"Shai-Osudoku",17289,16621,7550,9071,668
"Ada West",4346,4147,1495,2652,199
"Ada East",10954,10676,3913,6763,278
"Volta",285155,265486,104898,160588,19669
"South Tongu",18360,16303,5807,10496,2057
"Anloga",11921,11672,5101,6571,249
"Keta Municipal",10969,10652,5133,5519,317
"Ketu South Municipal",39192,36587,14813,21774,2605
"Ketu North Municipal",22351,19805,6929,12876,2546
"Akatsi North",5092,4609,1288,3321,483
"Akatsi South Municipal",18135,16627,5908,10719,1508
"Central Tongu",10068,8889,3072,5817,1179
"North Tongu",16030,13605,4351,9254,2425
"Ho West",13757,12565,5413,7152,1192
"Adaklu",4332,3713,1340,2373,619
"Agortime-Ziope",5823,5572,1562,4010,251
"Ho Municipal",45277,44072,20566,23506,1205
"South Dayi",8982,8377,3291,5086,605
"Afadzato South",12640,11706,4756,6950,934
"North Dayi",6753,6422,2539,3883,331
"Kpando Municipal",11483,11044,4218,6826,439
"Hohoe Municipal",23990,23266,8811,14455,724
"Eastern",628323,613689,231249,382440,14634
"Birim South",7481,7282,2914,4368,199
"Birim Central Municipal",19091,19038,7263,11775,53
"Achiase",11824,11588,3196,8392,236
