"Geographic_Area","Total","Collected","Other vehicles","Central container","Compaction truck","Push carts/Walk-in attendant/Bicycle/Wheelbarrow","Tricycle","Uncollected","Burn","Bury in the ground","Dumped indiscriminately","Other","Public dump/open space"
"Ghana",8356779,2794784,108510,755858,699247,130834,1100335,2429378,1882046,259533,276515,11284,3132617
"Western",620785,154353,7426,66400,41755,10820,27952,118187,78252,20399,18692,844,348245
"Jomoro Municipal",39438,2180,70,1135,126,727,122,9848,5100,2469,2044,235,27410
"Ellembelle",37206,4825,111,3670,336,502,206,9376,5824,2363,1188,1,23005
"Nzema East Municipal",28386,4916,31,3568,941,334,42,4852,2017,1067,1682,86,18618
"Ahanta West Municipal",47288,8136,243,4720,2734,402,37,10687,8751,1198,712,26,28465
"Effia Kwesimintsim Municipal",53717,38712,1711,7591,12991,1288,15131,5842,5406,326,55,55,9163
"Sekondi Takoradi Metropolitan Area (STMA)",73876,38245,416,21583,14172,1416,658,11939,11171,564,191,13,23692
"STMA-Takoradi",16271,11920,93,2878,7700,1087,162,760,675,57,26,2,3591
"STMA-Sekondi",17137,11629,114,8395,2848,99,173,1202,1112,71,19,0,4306
"STMA-Essikado-Ketan",40468,14696,209,10310,3624,230,323,9977,9384,436,146,11,15795
"Shama",33056,6908,185,4663,1790,250,20,6276,4717,635,866,58,19872
"Wassa East",28938,3167,15,2196,375,555,26,5033,2762,924,1320,27,20738
"Mpohor",17173,2640,1,2538,62,35,4,2386,1509,546,321,10,12147
"Tarkwa-Nsuaem Municipal",68128,18399,3548,7013,5576,1207,1055,8716,5943,1736,1007,30,41013
"Prestea/Huni Valley Municipal",66036,17348,662,4353,1118,1662,9553,11203,6850,1930,2268,155,37485
"Wassa Amenfi East Municipal",52972,4654,63,2144,741,1076,630,13864,8752,2951,2161,0,34454
"Wassa Amenfi Central",34088,1561,4,830,54,662,11,8539,3889,1638,2936,76,23988
"Wassa Amenfi West Municipal",40483,2662,366,396,739,704,457,9626,5561,2052,1941,72,28195
"Central",837840,195946,9556,96378,62097,8157,19758,260495,222125,20430,16583,1357,381399
"Komenda Edina Eguafo Abirem Municipal",47896,8562,93,6011,2342,78,38,8262,6578,1037,614,33,31072
"Cape Cape Metropolitan Area (CCMA)",58692,29255,275,20804,7330,775,71,8921,7303,441,951,226,20516
"CCMA-Cape Coast South",22278,12175,114,10096,1693,232,40,2461,1423,83,747,208,7642
"CCMA-Cape Coast North",36414,17080,161,10708,5637,543,31,6460,5880,358,204,18,12874
"Abura Asebu Kwamankese",37163,5357,86,3364,1396,495,16,10543,7740,744,1900,159,21263
"Mfantsiman Municipal",53079,7553,164,5369,1484,406,130,17088,14648,1060,1263,117,28438
"Ekumfi",16939,1414,3,1039,352,19,1,4533,3699,282,516,36,10992
"Gomoa West",38570,2822,15,2107,645,38,17,10084,8828,485,663,108,25664
"Effutu Municipal",32009,8908,642,2835,4264,480,687,9986,9521,165,274,26,13115
"Gomoa Central",25410,4727,57,2629,1744,265,32,5993,5456,332,186,19,14690
"Gomoa East",85450,27446,3249,3847,12071,2586,5693,47703,45268,1648,754,33,10301
"Awutu Senya East Municipal",67455,32053,3586,881,14436,921,12229,33763,32713,827,196,27,1639
"Awutu Senya",47049,3490,370,1612,716,524,268,23581,21231,1158,1107,85,19978
"Agona East",28960,4743,34,3285,1173,208,43,8417,6980,1028,393,16,15800
"Agona West Municipal",43799,16037,303,11173,4135,238,188,9036,7504,970,524,38,18726
"Asikuma Odoben Brakwa",35205,4013,17,3166,765,51,14,9207,6972,1383,819,33,21985
"Ajumako Enyan Essiam",37241,4551,59,3781,625,47,39,9368,7522,1305,458,83,23322
"Assin South",29606,1689,16,1320,313,31,9,8543,6264,1199,933,147,19374
"Twifo Heman Lower Denkyira",17875,1861,114,1248,251,228,20,4227,2352,1138,724,13,11787
"Twifo Ati Morkwa",26636,4074,274,2513,870,299,118,6774,3965,1626,1165,18,15788
"Assin Fosu Municipal",26647,10088,45,7961,1877,138,67,7471,6207,986,266,12,9088
"Assin North",21820,1841,14,1286,494,40,7,5999,4104,981,872,42,13980
"Upper Denkyira East Municipal",31971,13036,115,8047,4763,75,36,5874,4173,929,696,76,13061
"Upper Denkyira West",28368,2426,25,2100,51,215,35,5122,3097,706,1309,10,20820
"Greater Accra",1698371,1185716,50257,47566,311278,56392,720223,389712,363092,10487,14459,1674,122943
"Ga South Municipal",100056,36081,4110,1252,13586,191,16942,52152,48836,1935,1317,64,11823
"Weija Gbawe Municipal",63098,39365,1103,900,6571,440,30351,19985,19260,462,210,53,3748
"Ga Central Municipal",100221,78209,3030,554,20175,1132,53318,20822,20252,389,116,65,1190
"Ablekuma North Municipal",54138,52657,1178,63,13839,209,37368,1182,986,42,91,63,299
"Ablekuma West Municipal",49001,43073,732,2299,2586,717,36739,1599,1215,72,279,33,4329
"Ablekuma Central Municipal",56744,55555,1198,599,5914,2526,45318,823,672,35,91,25,366
"Accra Metropolitan Area (AMA)",97937,84345,3204,2367,7989,13720,57065,4311,1561,67,2490,193,9281
"AMA-Ablekuma South",35780,28291,612,2089,2647,1725,21218,2096,336,24,1588,148,5393
"AMA-Ashiedu Keteke",33377,28411,1238,147,1044,11747,14235,1576,647,31,857,41,3390
"AMA-Okaikoi South",28780,27643,1354,131,4298,248,21612,639,578,12,45,4,498
"Korle Klottey Municipal",25228,23079,1735,265,6952,1646,12481,896,528,204,75,89,1253
"Ayawaso Central Municipal",32611,31095,1066,870,3674,2200,23285,985,770,15,107,93,531
"Ayawaso East Municipal",16859,16166,524,2870,1071,693,11008,215,157,9,41,8,478
"Ayawaso North Municipal",21070,20592,1035,2467,1779,2849,12462,65,29,1,20,15,413
"La Dade-Kotopon Municipal",47449,44343,3428,1167,13393,3802,22553,2232,2142,34,44,12,874
"Ledzokuku Municipal",72340,59251,1811,1581,11206,1750,42903,7084,6502,158,283,141,6005
"Krowor Municipal",47485,42585,812,1196,6615,2722,31240,2697,2529,70,92,6,2203
"Adentan Municipal",82599,58170,2274,1146,21270,615,32865,22778,21935,417,360,66,1651
"Ayawaso West Municipal",22173,16286,574,688,8197,1245,5582,2345,2165,64,91,25,3542
"Okaikoi North Municipal",53074,50329,2036,320,11383,1008,35582,1391,1261,41,57,32,1354
"Ga North Municipal",75111,52530,4622,2092,18931,167,26718,20255,19634,482,119,20,2326
"Ga West Municipal",88386,27921,4393,4605,12068,1207,5648,53158,51059,1519,549,31,7307
"Ga East Municipal",90752,68099,4056,928,26584,464,36067,20249,19371,530,303,45,2404
"La Nkwantanang Madina Municipal",71483,54192,1892,573,24936,213,26578,15166,14690,314,107,55,2125
"Kpone Katamanso Municipal",121229,63069,1559,5142,13450,1415,41503,49468,47915,849,593,111,8692
"Ashaiman Municipal",67303,63309,867,1049,9857,6235,45301,2711,2346,50,255,60,1283
"Tema West Municipal",61407,49440,1239,1838,22191,1203,22969,7822,7127,137,522,36,4145
"Tema Metropolitan Area (TMA)",54861,34460,1051,4684,15487,7070,6168,4935,2336,55,2440,104,15466
"TMA-Tema Central",20114,17084,329,419,11940,351,4045,1369,1181,28,141,19,1661
"TMA-Tema East",34747,17376,722,4265,3547,6719,2123,3566,1155,27,2299,85,13805
"Ningo-Prampram",56216,15973,577,2391,10333,636,2036,30632,28513,856,1153,110,9611
"Shai-Osudoku",30526,2618,121,1295,924,176,102,21091,19772,587,665,67,6817
"Ada West",18277,1310,7,1206,62,28,7,9758,7776,516,1432,34,7209
"Ada East",20737,1614,23,1159,255,113,64,12905,11753,577,557,18,6218
"Volta",491066,83854,2247,42822,29760,4382,4643,234189,188602,25654,18793,1140,173023
"South Tongu",31592,3787,308,1866,1450,69,94,19741,17730,1171,822,18,8064
"Anloga",26853,2995,66,2077,819,25,8,14548,9512,4490,465,81,9310
"Keta Municipal",24515,1594,51,691,820,31,1,8517,6068,2120,320,9,14404
"Ketu South Municipal",72417,12755,456,5440,2115,2554,2190,29419,20542,5231,3635,11,30243
"Ketu North Municipal",35092,5214,106,3936,830,215,127,19674,14902,1921,2556,295,10204
"Akatsi North",9261,978,34,671,214,51,8,4449,3611,390,399,49,3834
"Akatsi South Municipal",27973,1799,122,434,927,225,91,19507,15951,1497,1809,250,6667
"Central Tongu",21128,1313,21,337,797,153,5,11591,9159,1072,1348,12,8224
"North Tongu",30900,3240,24,2271,755,80,110,18414,16132,863,1340,79,9246
"Ho West",24881,2340,33,1710,533,60,4,11127,9304,1025,798,0,11414
"Adaklu",10274,1290,9,1232,32,16,1,4518,3278,465,770,5,4466
"Agortime-Ziope",13113,1707,12,1140,474,9,72,6404,4490,893,1014,7,5002
"Ho Municipal",59450,21268,428,9195,11395,130,120,22324,20258,1286,697,83,15858
"South Dayi",16287,2247,34,1455,558,191,9,7426,6418,504,480,24,6614
"Afadzato South",21523,2143,43,1117,900,72,11,9687,8067,895,581,144,9693
"North Dayi",12601,1676,14,1036,583,38,5,5372,4552,404,404,12,5553
"Kpando Municipal",17798,4220,72,2395,1694,34,25,7831,7018,373,430,10,5747
"Hohoe Municipal",35408,13288,414,5819,4864,429,1762,13640,11610,1054,925,51,8480
"Eastern",880805,244646,3842,158889,70694,6477,4744,324350,266694,32520,24139,997,311809
"Birim South",10619,3373,28,2844,387,12,102,4160,3532,376,248,4,3086
"Birim Central Municipal",23666,8024,204,3676,3613,338,193,5650,5108,473,59,10,9992
"Achiase",16593,3911,50,3468,297,85,11,4959,3921,508,509,21,7723
"Asene Manso Akroso",23807,3205,30,2474,506,158,37,7191,6090,734,347,20,13411
"West Akim Municipal",37643,14209,45,11001,2959,151,53,11671,9301,1302,1001,67,11763
"Upper West Akim",29837,5484,44,4302,766,216,156,9169,7364,953,832,20,15184
"Ayensuano",28640,2986,25,2505,320,117,19,12610,10501,944,1156,9,13044
"Nsawam Adoagyiri Municipal",47942,20348,583,15068,3873,634,190,16059,14614,1126,301,18,11535
"Akwapim South Municipal",22627,4742,252,2436,1812,56,186,8672,7350,990,317,15,9213
"Akwapim North Municipal",30517,9378,249,4522,3971,172,464,12226,10636,1206,382,2,8913
"Okere",15017,4636,50,3008,1537,26,15,5659,4910,263,451,35,4722
"New Juaben South Municipal",45190,31763,209,16173,14866,350,165,7962,6983,793,177,9,5465
"New Juaben North Municipal",26925,16516,174,11647,4560,103,32,7097,6287,677,125,8,3312
"Suhum Municipal",39891,14117,60,10841,3112,89,15,14714,12912,904,885,13,11060
"Abuakwa North Municipal",23217,4899,245,1860,2468,85,241,9699,8564,685,432,18,8619
"Abuakwa South Municipal",26653,2989,105,1610,1174,56,44,13538,11702,1250,582,4,10126
"Denkyembuor",24099,5163,195,3476,1338,57,97,9411,8553,652,194,12,9525
"Akyemansa",26774,3761,226,2959,421,129,26,7968,5783,1272,902,11,15045
"Kwaebibirem Municipal",37075,6775,161,4231,2048,200,135,17814,15985,1037,778,14,12486
"Birim North",24817,4010,77,2194,1577,124,38,9299,8003,847,319,130,11508
"Atiwa West",17872,2109,5,1980,15,103,6,8791,7097,1362,242,90,6972
"Atiwa East",19665,3628,86,2076,1375,81,10,8191,6979,918,262,32,7846
"Fanteakwa South",17412,2374,16,1583,677,73,25,7395,5984,977,434,0,7643
"Yilo Krobo Municipal",36246,9064,28,6100,2688,114,134,13466,10988,1627,846,5,13716
"Lower Manya Krobo Municipal",36018,11717,106,7116,2869,737,889,14829,12866,1141,713,109,9472
"Asuogyaman",29629,6052,154,1635,4176,51,36,13939,12433,811,677,18,9638
"Upper Manya Krobo",18226,3537,75,3033,125,96,208,7322,4490,1071,1718,43,7367
"Fanteakwa North",16443,5749,26,5080,394,139,110,5118,3289,923,791,115,5576
"Kwahu South Municipal",23420,3511,18,2869,450,128,46,7689,5014,1522,1150,3,12220
"Kwahu West Municipal",44890,17201,208,9939,5024,1292,738,14599,11901,2016,658,24,13090
"Kwahu East",22407,3915,33,3052,522,172,136,7876,5705,841,1274,56,10616
"Kwahu Afram Plains South",19414,2937,72,2033,600,176,56,9088,5797,1319,1966,6,7389
"Kwahu Afram Plains North",17614,2563,3,2098,174,157,131,10519,6052,1000,3411,56,4532
"Ashanti",1521809,576917,26150,122458,99019,23044,306246,313256,243922,38191,30251,892,631636
"Amansie South",39632,1202,51,67,60,180,844,5034,3668,773,593,0,33396
"Amansie Central",29335,3039,10,2667,170,176,16,3589,2411,588,575,15,22707
"Akrofuom",15613,2320,8,2145,37,127,3,3484,1756,752,917,59,9809
"Adansi South",24102,3776,12,2854,593,256,61,5219,2631,1484,1051,53,15107
"Adansi Asokwa",18948,1859,3,1386,180,243,47,5212,3086,1070,1056,0,11877
"Obuasi East",27776,10836,266,8169,980,190,1231,6060,5611,305,133,11,10880
"Obuasi Municipal",31689,19143,284,13741,3989,603,526,3589,3322,139,110,18,8957
"Adansi North",14990,2195,6,2016,138,25,10,3666,2712,627,326,1,9129
"Bekwai Municipal",38309,4441,99,2797,1296,166,83,7054,5390,1149,515,0,26814
"Amansie West",33128,2436,38,1347,882,130,39,7938,6094,1078,746,20,22754
"Atwima Kwanwoma",64312,18208,928,1759,3493,1076,10952,21886,20203,1316,366,1,24218
"Bosomtwi",46102,11159,304,3323,6153,312,1067,13783,11884,1508,391,0,21160
"Bosome Freho",16794,759,0,527,134,57,41,3122,1707,777,632,6,12913
"Asante Akim Central Municipal",28113,8660,862,4916,2522,258,102,9432,7357,1540,529,6,10021
"Asante Akim South Municipal",33697,3237,9,2561,504,83,80,11084,7715,1899,1470,0,19376
"Asante Akim North Municipal",26364,5467,162,3396,1378,423,108,7855,5598,1088,1119,50,13042
"Sekyere Kumawu",16639,1464,2,1337,95,29,1,3954,2645,702,606,1,11221
"Sekyere East",20095,4424,34,3724,485,154,27,5492,4294,829,328,41,10179
"Juaben Municipal",18166,2933,52,2038,776,44,23,3829,2825,616,381,7,11404
"Ejisu Municipal",50294,16998,510,7460,5291,708,3029,13829,12074,1232,474,49,19467
"Oforikrom Municipal",52249,41140,1323,2660,8800,831,27526,5819,5271,351,184,13,5290
"Asokwa Municipal",39205,34211,459,1573,2390,435,29354,2303,2042,152,105,4,2691
"Kumasi Metropolitan Area (KMA)",136564,116800,5272,4769,10320,5557,90882,9047,7644,722,649,32,10717
"KMA-Nhyiaeso",35554,30040,898,837,3875,542,23888,3477,3189,210,78,0,2037
"KMA-Subin",23054,18912,476,1799,1075,1880,13682,814,389,66,355,4,3328
"KMA-Manhyia South",13777,12503,299,534,507,1706,9457,135,103,2,30,0,1139
"KMA-Manhyia North",28271,25303,721,786,1704,366,21726,1450,1251,103,84,12,1518
"KMA-Bantama",35908,30042,2878,813,3159,1063,22129,3171,2712,341,102,16,2695
