"Geographic_Area","Total","Household toilet facility","Improved","Unimproved","No Household toilet facility","None","Public toilet"
"Ghana",8356779,4953140,4834926,118214,3403639,1477741,1925898
"Western",620785,365670,356286,9384,255115,69642,185473
"Jomoro Municipal",39438,18251,17591,660,21187,13999,7188
"Ellembelle",37206,21408,20555,853,15798,7383,8415
"Nzema East Municipal",28386,13689,12840,849,14697,6342,8355
"Ahanta West Municipal",47288,22438,21922,516,24850,9147,15703
"Effia Kwesimintsim Municipal",53717,35283,35156,127,18434,410,18024
"Sekondi Takoradi Metropolitan Area (STMA)",73876,47231,46854,377,26645,1411,25234
"STMA-Takoradi",16271,10437,10419,18,5834,333,5501
"STMA-Sekondi",17137,10409,10387,22,6728,360,6368
"STMA-Essikado-Ketan",40468,26385,26048,337,14083,718,13365
"Shama",33056,15995,15562,433,17061,5409,11652
"Wassa East",28938,19622,19493,129,9316,3177,6139
"Mpohor",17173,8955,8479,476,8218,1815,6403
"Tarkwa-Nsuaem Municipal",68128,39738,39071,667,28390,6021,22369
"Prestea/Huni Valley Municipal",66036,36218,34838,1380,29818,3903,25915
"Wassa Amenfi East Municipal",52972,38489,37569,920,14483,5325,9158
"Wassa Amenfi Central",34088,22398,21353,1045,11690,2732,8958
"Wassa Amenfi West Municipal",40483,25955,25003,952,14528,2568,11960
"Central",837840,546610,535929,10681,291230,98344,192886
"Komenda Edina Eguafo Abirem Municipal",47896,19285,18954,331,28611,10766,17845
"Cape Cape Metropolitan Area (CCMA)",58692,38216,37884,332,20476,4548,15928
"CCMA-Cape Coast South",22278,13748,13689,59,8530,2336,6194
"CCMA-Cape Coast North",36414,24468,24195,273,11946,2212,9734
"Abura Asebu Kwamankese",37163,21765,20960,805,15398,6393,9005
"Mfantsiman Municipal",53079,28694,28252,442,24385,10139,14246
"Ekumfi",16939,7074,6810,264,9865,5907,3958
"Gomoa West",38570,18147,17819,328,20423,9892,10531
"Effutu Municipal",32009,19325,19149,176,12684,3186,9498
"Gomoa Central",25410,14340,14098,242,11070,1872,9198
"Gomoa East",85450,66790,65317,1473,18660,7805,10855
"Awutu Senya East Municipal",67455,59460,58412,1048,7995,884,7111
"Awutu Senya",47049,28989,28323,666,18060,9227,8833
"Agona East",28960,16537,16091,446,12423,2318,10105
"Agona West Municipal",43799,30198,29822,376,13601,2419,11182
"Asikuma Odoben Brakwa",35205,22533,21906,627,12672,3702,8970
"Ajumako Enyan Essiam",37241,24194,23848,346,13047,4533,8514
"Assin South",29606,20102,19449,653,9504,3386,6118
"Twifo Heman Lower Denkyira",17875,13063,12877,186,4812,1508,3304
"Twifo Ati Morkwa",26636,18969,18498,471,7667,1576,6091
"Assin Fosu Municipal",26647,20132,19982,150,6515,1416,5099
"Assin North",21820,14721,14197,524,7099,1793,5306
"Upper Denkyira East Municipal",31971,23962,23556,406,8009,1364,6645
"Upper Denkyira West",28368,20114,19725,389,8254,3710,4544
"Greater Accra",1698371,1176496,1165093,11403,521875,105717,416158
"Ga South Municipal",100056,76879,75126,1753,23177,10446,12731
"Weija Gbawe Municipal",63098,50787,50006,781,12311,1992,10319
"Ga Central Municipal",100221,96314,94666,1648,3907,549,3358
"Ablekuma North Municipal",54138,42544,42237,307,11594,167,11427
"Ablekuma West Municipal",49001,27504,27463,41,21497,192,21305
"Ablekuma Central Municipal",56744,34020,33980,40,22724,75,22649
"Accra Metropolitan Area (AMA)",97937,45202,45173,29,52735,674,52061
"AMA-Ablekuma South",35780,18251,18232,19,17529,368,17161
"AMA-Ashiedu Keteke",33377,5142,5135,7,28235,168,28067
"AMA-Okaikoi South",28780,21809,21806,3,6971,138,6833
"Korle Klottey Municipal",25228,16168,16153,15,9060,216,8844
"Ayawaso Central Municipal",32611,24154,24136,18,8457,74,8383
"Ayawaso East Municipal",16859,8198,8178,20,8661,352,8309
"Ayawaso North Municipal",21070,12850,12832,18,8220,400,7820
"La Dade-Kotopon Municipal",47449,30483,30439,44,16966,806,16160
"Ledzokuku Municipal",72340,46701,46267,434,25639,2099,23540
"Krowor Municipal",47485,29623,29581,42,17862,679,17183
"Adentan Municipal",82599,66976,66336,640,15623,5348,10275
"Ayawaso West Municipal",22173,16102,16080,22,6071,967,5104
"Okaikoi North Municipal",53074,41322,41153,169,11752,256,11496
"Ga North Municipal",75111,66262,65581,681,8849,997,7852
"Ga West Municipal",88386,73202,72153,1049,15184,4561,10623
"Ga East Municipal",90752,77980,77014,966,12772,1962,10810
"La Nkwantanang Madina Municipal",71483,58929,58468,461,12554,2058,10496
"Kpone Katamanso Municipal",121229,71279,70878,401,49950,15116,34834
"Ashaiman Municipal",67303,29445,29175,270,37858,710,37148
"Tema West Municipal",61407,46000,45940,60,15407,4660,10747
"Tema Metropolitan Area (TMA)",54861,24781,24758,23,30080,4437,25643
"TMA-Tema Central",20114,16646,16629,17,3468,1499,1969
"TMA-Tema East",34747,8135,8129,6,26612,2938,23674
"Ningo-Prampram",56216,30202,29876,326,26014,18558,7456
"Shai-Osudoku",30526,17289,16621,668,13237,7519,5718
"Ada West",18277,4346,4147,199,13931,12319,1612
